n_break,n_exit,vol_mult,oi_threshold,max_hold,stop_atr_mult,avg_sharpe,avg_return,avg_drawdown,avg_win_rate,total_trades,positive_ratio,tested_symbols,score
5,5,1.2,0.03,10,2.5,0.09882799451510428,0.00021125379624200558,0.2175095779561722,0.429812724141497,1056,0.6491228070175439,57,0.8113592027082936
5,5,1.2,0.03,10,2.0,0.10843284770223534,0.00014675416536844753,0.22126473802283572,0.43048826356476794,1057,0.6666666666666666,57,0.804197676806576
5,3,1.2,0.03,5,1.5,0.050259723084875765,0.00029967593763762976,0.1677739730282183,0.43735480679750266,1187,0.631578947368421,57,0.7972755997620197
7,5,1.2,0.03,10,2.5,0.08006931655634283,0.00022729621011928426,0.21281651281032898,0.42018896384366106,962,0.631578947368421,57,0.795612584029373
5,5,1.2,0.03,5,1.5,0.059986649891878956,0.00022209724277887484,0.17789978435358217,0.4502644130164479,1186,0.6491228070175439,57,0.7858721092948808
3,5,1.2,0.03,5,1.5,0.10413043601925893,9.803222170928323e-05,0.19601152463527297,0.44986725835207003,1312,0.6491228070175439,57,0.77781643612328
7,5,1.2,0.03,10,2.0,0.06564942595628699,0.00013812049385277908,0.21824646203385184,0.4210080817966463,963,0.631578947368421,57,0.7552709769672098
5,3,1.2,0.01,5,1.5,0.0438382989538964,0.0001879686077021987,0.18612307366364936,0.43773911738523236,1319,0.6140350877192983,57,0.7484395628047589
3,5,1.2,0.03,5,2.5,0.06347903654332501,0.00016154364534965628,0.1872989159442185,0.4529768842687136,1311,0.5964912280701754,57,0.7473715258758786
3,3,1.2,0.03,5,1.5,0.040615505329929656,0.00018987647636585798,0.18738276399082776,0.43613457359345315,1316,0.6140350877192983,57,0.7466588364492979
3,5,1.2,0.03,5,2.0,0.07023868089038642,0.00014406358392845528,0.18853493983600514,0.4529768842687136,1311,0.5964912280701754,57,0.746640839734467
5,5,1.2,0.02,10,2.5,0.09720836129742536,3.9595248606943736e-05,0.23697711157792267,0.43153778810866267,1108,0.631578947368421,57,0.7462551195918764
5,3,1.2,0.02,5,1.5,0.042876209624507056,0.00015293826636817234,0.1835597379144705,0.4380535644766778,1254,0.631578947368421,57,0.7431305481668442
5,3,1.2,0.03,5,2.0,0.021082115855685885,0.00022324141945788802,0.17087247053550528,0.4402512163951045,1186,0.6140350877192983,57,0.7430890550419814
5,3,1.2,0.03,5,2.5,0.018321514485198413,0.00022284939431609026,0.17091044424708912,0.4402512163951045,1186,0.6140350877192983,57,0.7408923615116167
5,5,1.2,0.03,5,2.5,0.02543957485754515,0.00024292122503859515,0.17393267675162505,0.45383558644670835,1185,0.5789473684210527,57,0.738836628710797
5,5,1.2,0.03,5,2.0,0.032742789414398885,0.00022547613000667725,0.17341104864669069,0.45383558644670835,1185,0.5789473684210527,57,0.7385244879108626
7,3,1.2,0.03,5,1.5,0.004155638433002514,0.0002876326381443881,0.1741043764266751,0.42425892735091675,1082,0.5789473684210527,57,0.7377155626264573
5,5,1.2,0.02,10,2.0,0.10631661192374525,-2.6580248601037217e-05,0.24090976955098986,0.43219316217601494,1109,0.631578947368421,57,0.7311490048689773
5,5,1.2,0.02,5,1.5,0.0500374223321286,7.558572640499697e-05,0.19355178495902947,0.4502049755448212,1253,0.6491228070175439,57,0.7298810879768225
5,3,1.2,0.03,10,2.0,0.08062122663546499,4.528227958170081e-05,0.21081665205128883,0.39243625017416506,1074,0.6140350877192983,57,0.7287033444543908
3,3,1.2,0.03,5,2.5,0.028415854906398745,0.00015745258614805147,0.18780723868381344,0.43861763309405644,1315,0.6140350877192983,57,0.726782508164348
5,3,1.2,0.03,10,2.5,0.0780322903284395,4.460385331699671e-05,0.21121754860550523,0.3926177383774318,1073,0.6140350877192983,57,0.7265402826730294
3,3,1.2,0.03,5,2.0,0.025847930890852445,0.00015784418255596465,0.18779343956340105,0.43861763309405644,1315,0.6140350877192983,57,0.7249896980431625
7,5,1.2,0.02,10,2.5,0.08170304209768181,5.183549976579785e-05,0.2326190138859423,0.4216168190865206,1006,0.5964912280701754,57,0.7246669489526035
